,region,pop,geno,trt,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,root_shoot,biomass_total
98,Boulder,DM,13,ND - D,19.26428571,NA,NA,NA,0.0207,-4,0.175,3.42889,6.155,NA,NA,NA,NA
99,Boulder,DM,14,ND - D,20.31666667,NA,NA,NA,-0.0409,-17,NA,NA,2.62,NA,NA,NA,NA
100,Boulder,DM,15,ND - D,20.08333333,0.71,0.25,-0.55,0.0442,4,-0.9,1.63333,2.52,NA,NA,0.539,0.4542
101,Boulder,DM,16,ND - D,18.7,0.47,-0.35,-0.45,-0.0918,-2,0.20857,1.13015,-2.015,2.2,0.55,0.151,-0.4218
102,Boulder,DM,17,ND - D,17.68333333,0.86,-0.19,1.29,-0.1299,-1,0.41429,0.70972,13.9,3.75,3.1,-0.161,1.8301
103,Boulder,HV,1,ND - D,20.70625,NA,NA,NA,0.0979,7,0.62929,6.04667,9.8,NA,NA,NA,NA
104,Boulder,HV,2,ND - D,20.04166667,NA,NA,NA,0.0304,-1,NA,NA,-1.4,0.85,-5.05,NA,NA
105,Boulder,HV,3,ND - D,17.295,NA,NA,NA,0.245,9,-0.32,8.75882,8.1,NA,NA,NA,NA
106,Boulder,HV,4,ND - D,17.3875,0.36,0.77,0.23,-0.0458,-5,0.51333,-1.68529,-1.04,0.8,0.8,0.227,1.3142
107,Boulder,HV,5,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA
108,Boulder,HV,6,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-28.4,NA,NA,NA,NA
109,Boulder,HV,7,ND - D,15.68333334,0.43,0,1.66,0.1315,8,-0.32667,-3.75882,7.9,1.1,4.75,-0.312,2.2215
110,Boulder,HV,8,ND - D,19.4625,-0.52,-0.6,0.27,-0.0576,-7,0.17045,-5.21154,-6.1,5.35,-4.85,-0.539,-0.9076
111,Boulder,HV,9,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA
112,Boulder,HV,10,ND - D,15.1125,1.68,1.76,3.79,0.2431,13,0.84,7.93138,25,NA,NA,0.345,7.4731
113,Boulder,HV,11,ND - D,14.77666667,NA,NA,NA,0.4478,7,0.75556,9.3,34.4,NA,NA,NA,NA
114,Boulder,HV,12,ND - D,18.38333333,NA,NA,NA,0.2011,12,-0.21729,-0.5225,8,NA,NA,NA,NA
115,Boulder,HV,13,ND - D,19.20625,-0.21,0.25,1.16,-0.0575,-7,-0.19444,0.94798,7.6,3.87,1.57,-0.252,1.1425
116,Boulder,HV,14,ND - D,18.18571429,0.28,0.91,2.05,-0.0636,-4,0.09444,0.06978,0,0,1.95,0.028,3.1764
117,Boulder,HV,15,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA
118,Boulder,HV,16,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-52.1,NA,NA,NA,NA
