pot,region,pop,geno,lab,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown,roottoshoot,biomass_total
146,Boulder,DM,10,DM10,20.075,0.81,0.8,1.02,0,-0.1214,0,-0.1214,0,-9,-29.4,0.96364,-7.07692,10.3,11.7,10.05,10.3,12.7,9.9,9.35,4.5333,3.4,1.7,0.8,0.5,NA,NA,0.24128571,4.8482
147,Boulder,DM,11,DM11,19.0375,NA,NA,NA,NA,0.0329,0.0866,0.1195,0,4,10.1,-0.17917,2.80571,4.67,-0.7,2.85,4.4,3.81,15,1.85,-1.0667,-2.1,-0.9,NA,NA,-2,0,NA,NA
148,Boulder,DM,12,DM12,19.45833333,0.23,-0.3,0.11,-0.0226,0,-0.0393,-0.0619,0,0,0,NA,NA,5.8,6.84,3.5,-0.5,-4.445,-11.8667,-8.3,-8.6,-5.1,-0.05,1.15,1.05,NA,NA,-0.037358127,4.1171
149,Boulder,DM,13,DM13,19.26428571,NA,NA,NA,NA,-0.0413,0.062,0.0207,0,-4,-13.2,0.175,3.42889,6.155,NA,NA,NA,5.715,NA,NA,NA,NA,-0.65,NA,NA,NA,NA,NA,NA
150,Boulder,DM,14,DM14,20.31666667,NA,NA,NA,NA,-0.1876,0.1467,-0.0409,0,-17,-45.4,NA,NA,2.62,-5.69,-21.25,-28.5,-33.02,-32.1333,-18.5,-14.5667,-9.6,-1.35,NA,NA,NA,NA,NA,NA
151,Boulder,DM,15,DM15,20.08333333,0.71,0.25,-0.55,0,0.0344,0.0098,0.0442,0,4,13.1,-0.9,1.63333,2.52,-2.4467,-1.3,-4.8,11.43,-0.7,-5.1,-11.2,-5.9,-0.85,NA,NA,0.13,0.22,0.512327358,6.4548
152,Boulder,DM,16,DM16,18.7,0.47,-0.35,-0.45,-0.0442,-0.0266,-0.021,-0.0918,0,-2,-4.9,0.20857,1.13015,-2.015,-2.78,-3.25,-3.6,-0.635,12.5,13.65,13.4,7.5,2.25,2.2,0.55,NA,NA,0.145356614,5.2303
153,Boulder,DM,17,DM17,17.68333333,0.86,-0.19,1.29,-0.0223,-0.0331,-0.0745,-0.1299,0,-1,-0.1,0.41429,0.70972,13.9,13.54,12.1,13.7,20.32,10.9,1.25,-2.3667,-2.5,-1.4,3.75,3.1,NA,NA,-0.091164655,5.024
171,Boulder,HV,1,HV01,20.70625,NA,NA,NA,NA,0.1257,-0.0278,0.0979,0,7,37.1,0.62929,6.04667,9.8,13.4,13,9.525,9.6,7.8,11.25,7.6334,13.7666,8.2667,NA,NA,0.25,0.26,NA,NA
172,Boulder,HV,2,HV02,20.04166667,NA,NA,NA,NA,-0.0018,0.0322,0.0304,0,-1,-3.5,NA,NA,-1.4,8.8,8.6,-1.905,-8.85,-7.55,-6.35,-14.3,-14.3333,-3.1,0.85,-5.05,NA,NA,NA,NA
173,Boulder,HV,3,HV03,17.295,NA,NA,NA,NA,0.2365,0.0085,0.245,0,9,32.1,-0.32,8.75882,8.1,6.7,7,10.16,7.3,9.5,7.3,2.9,7.9,3.2,NA,NA,NA,NA,NA,NA
174,Boulder,HV,4,HV04,17.3875,0.36,0.77,0.23,0,-0.0538,0.008,-0.0458,0,-5,-10,0.51333,-1.68529,-1.04,2.1,-2.45,-2.54,2.05,5.25,1.85,0.1,-3,-1.6334,0.8,0.8,NA,NA,0.228535186,6.9794
175,Boulder,HV,5,HV05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.1,0.1,0.1,0.4333,0.0666,NA,NA,NA,NA,NA,NA
176,Boulder,HV,6,HV06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.4,NA,NA,NA,-27,-23.9,-23.2,-22.7,-10.5333,-2.5,NA,NA,NA,NA,NA,NA
177,Boulder,HV,7,HV07,15.68333334,0.43,0,1.66,0,0.0385,0.093,0.1315,0,8,21.5,-0.32667,-3.75882,7.9,11.4,7.45,8.89,7.2,3.8,-0.05,-1,1.2666,0.1667,1.1,4.75,NA,NA,-0.300821807,3.3782
178,Boulder,HV,8,HV08,19.4625,-0.52,-0.6,0.27,0,-0.1361,0.0785,-0.0576,0,-7,-30.5,0.17045,-5.21154,-6.1,-6.1,-5.75,-7.62,0.55,-2.7,-1.05,-2.5,-2.5667,-1.5333,5.35,-4.85,NA,NA,-0.464115491,5.1235
179,Boulder,HV,9,HV09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,31.45,27.05,22.8,11.1333,2.3,NA,NA,NA,NA,NA,NA
180,Boulder,HV,10,HV10,15.1125,1.68,1.76,3.79,0,0.2115,0.0316,0.2431,0,13,51.6,0.84,7.93138,25,35.5,19.65,19.685,30.85,30.35,26.8,20.9,13.1333,3.6666,NA,NA,NA,NA,0.314972117,2.2128
181,Boulder,HV,11,HV11,14.77666667,NA,NA,NA,NA,0.1248,0.1802,0.4478,0,7,26.4,0.75556,9.3,34.4,21.4,22.25,13.97,31.85,22.1,20.2,15.5,13.3,2.8333,NA,NA,NA,NA,NA,NA
182,Boulder,HV,12,HV12,18.38333333,NA,NA,NA,NA,0.1224,0.0439,0.2011,0,12,37.7,-0.21729,-0.5225,8,33,18.9,11.43,8.2,9.85,10.85,7.0666,5.7333,1.6334,NA,NA,NA,NA,NA,NA
183,Boulder,HV,13,HV13,19.20625,-0.21,0.25,1.16,0,-0.0461,-0.0114,-0.0575,0,-7,-23.8,-0.19444,0.94798,7.6,11.3,10.95,11.43,-1.6,-4.45,-8.5,-0.4666,-1.8666,0.1333,3.87,1.57,NA,NA,-0.208861549,3.7403
184,Boulder,HV,14,HV14,18.18571429,0.28,0.91,2.05,0,-0.0636,0,-0.0636,0,-4,-11.9,0.09444,0.06978,0,0.2,0,0,-1.7,-3.6,-4.95,-9.1,-4.5667,-0.6333,0,1.95,NA,NA,0.041293126,6.5556
185,Boulder,HV,15,HV15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,1.05,0.2,-0.2,0.2667,0.3333,NA,NA,NA,NA,NA,NA
186,Boulder,HV,16,HV16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.1,NA,NA,NA,-52.45,-51.05,-47.25,-37.9,-25.8333,-6.8,NA,NA,NA,NA,NA,NA
187,Boulder,HV,17,HV17,19.1375,-0.42,-0.24,-0.38,0,-0.162,-0.0744,-0.2364,0,-12,-45.7,-0.94375,-8.72889,-3.175,-14.3,-9,-3.175,-5.65,-10.05,-17.8,-27.8333,-19.7334,-6.0667,5.3,4.3,NA,NA,-0.089095832,5.7239
205,Boulder,ST,1,ST01,18.4875,NA,NA,NA,NA,0.0368,0.1009,0.2058,0,3,17.3,0.54167,2.71746,8.4,4.4,6.7,5.08,3.8,-1.2,2.75,2.0333,-5.2666,-2.4333,NA,NA,NA,NA,NA,NA
206,Boulder,ST,2,ST02,14.7625,0.5,0.49,1.01,0,0,0.0446,0.0446,1,0,0,NA,NA,8.2,8.2,19.75,26.67,18.9,9.9,0.95,0.0333,-0.2333,-0.0333,-0.05,0,NA,NA,-0.652610002,1.26
207,Boulder,ST,3,ST03,18.08333333,0.21,0.49,-0.47,0,0.061,0.0015,0.0625,0,1,8.9,0.52083,9.34921,15.1,10.6,16.95,15.24,17.15,21.3,18.7,17.2,9.4667,1.1333,1.2,1.1,NA,NA,0.391199402,4.7057
208,Boulder,ST,4,ST04,18.91875,NA,NA,NA,NA,0,0.0957,0.0957,0,0,0,NA,NA,-25.7,-25.7,-37.45,-40.64,-51.65,-44.55,-31.1,-18.0667,-5.2334,-0.3,NA,NA,-0.65,-0.2,NA,NA
209,Boulder,ST,5,ST05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,NA,NA,NA,21.6,8.25,2.35,2.4,2.8333,2.5333,NA,NA,NA,NA,NA,NA
210,Boulder,ST,6,ST06,16.625,0.41,2.09,3.9,0,0.0536,0.344,0.3976,0,8,26.4,-0.11111,-1.69667,11.4,10.2,10,12.7,14.85,7.2,9.35,8.7,8.3,1.7667,-5,-2.5,NA,NA,0.090015287,4.0767
211,Boulder,ST,7,ST07,20.8125,0.99,0.67,0.82,0,0.0928,0,0.0928,0,3,6,-0.04047,0.98571,3.06,2.5,3.75,5.08,0.5,0.95,-0.95,-4.7,-5.5666,-0.4334,0,-2.2,NA,NA,0.210992521,4.8185
212,Boulder,ST,8,ST08,16.37375,1.71,1.58,3.09,0,0.2265,0.3068,0.5333,0,12,56.4,0.54375,2.47556,9.9,16.1,12.5,8.255,10.15,13.45,9.8,1.4666,2.5666,0.3,-0.65,-0.5,NA,NA,0.252667407,4.0491
213,Boulder,ST,9,ST09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.15,NA,NA,NA,65.1,57.55,38.4,24.9,15.9,4.1,NA,NA,NA,NA,NA,NA
214,Boulder,ST,10,ST10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,-0.25,-0.5,-0.5,-0.1,0.0667,0.0667,NA,NA,NA,NA,NA,NA
215,Boulder,ST,11,ST11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.57,NA,NA,NA,-41.95,-36.45,-28.3,-22.3333,-12.1667,-1.7333,NA,NA,NA,NA,NA,NA
216,Boulder,ST,12,ST12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.5,NA,NA,NA,-38.35,-24.7,-16.9,-7.7,0.3667,0.5666,NA,NA,NA,NA,NA,NA
217,Boulder,ST,13,ST13,19.4,NA,NA,NA,NA,NA,NA,NA,-1,-3,-12.4,NA,NA,-40.49,-39.8,-40.1,-41.91,-40.5,-30,-20.05,-10.9666,-8.5,-2.0333,NA,NA,NA,NA,NA,NA
218,Boulder,ST,14,ST14,22.01785714,NA,NA,NA,NA,-0.0938,-0.0355,-0.1293,0,1,4.1,0.03141,-10.7,10.6,10.6,10.55,10.795,8.5,-1.3,-7.7,-12.3,-8.7667,-1,NA,NA,NA,NA,NA,NA
