pot,region,pop,geno,lab,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown,roottoshoot,biomass_total
39,Boulder,K,5,K05,22.55714286,0.29,0.45,-0.19,0.0787,-0.0593,0.0787,0.0981,0,-4,-13.6,-0.16969,0.95481,4.8,1.1,0.5,4.9,2.2175,NA,-2.3,-3.15,1.3667,0.95,1.9,0.8,NA,NA,0.346208611,4.7869
40,Boulder,K,6,K06,20.84285714,NA,NA,NA,NA,0.0047,0,0.0047,0,2,6.8,-0.06869,-3.32667,-14.685,-15.1,-4.2,-14.2,-15.605,NA,-3.5334,-6.75,-8.0667,-1.75,NA,NA,-0.1,-0.15,NA,NA
41,Boulder,K,7,K07,18.83,0.51,0.32,-0.18,-0.096,0.0148,-0.096,-0.1772,0,2,5,-0.45833,-2.43429,-8.5,-0.5833,2.7,2.8,2.0525,NA,4.2333,2.8,-0.5667,-1.25,NA,NA,NA,NA,0.333876469,5.5622
42,Boulder,K,8,K08,22.18666667,0.12,-0.26,-0.4,0.0989,-0.0632,0.0989,0.1346,0,-7,-22.3,-0.17252,-4.23778,1.4,1.7667,2.3,1.8,1.685,NA,5.9,2.2,1.7333,2.15,2.95,1.7,0.5,1.65,0.039939755,6.3498
43,Boulder,K,9,K09,21.86666666,1.15,0.19,1.9,0,0.2784,0,0.2784,0,19,66.5,-0.00286,-3.01478,11.8,12.3,11.6,10.3,12.45,NA,8.8667,1.75,1.5,-0.85,NA,NA,NA,NA,-0.159002138,7.3632
44,Boulder,K,10,K10,21.23125,0.81,0.46,0.8,-0.034,0.1994,-0.034,0.1314,0,15,42.2,0.42778,1.265,20.26,31.3834,28.6,22.9,21.4925,NA,10.9,2.3,3.4667,2.1,NA,NA,-0.4,0.35,0.134385001,4.4369
45,Boulder,K,11,K11,20.3,0.77,1.3,2.4,-0.1524,0.2214,-0.1524,-0.0834,0,7,23.1,-0.93333,16.51333,-6.2,7.75,38.5,8.4,7.125,NA,3.0667,-2.6,-3.5,-2.85,NA,NA,NA,NA,0.246339611,3.1145
46,Boulder,K,12,K12,23.625,-0.04,-0.2,-0.79,0,-0.072,0,-0.072,0,-5,-19.5,-0.28968,-1.80057,1.6,0.6,2.2,2.2,1.25,NA,-5.2,-7.4,-5.5,-1.45,2.05,2,0.35,0.25,0.198116212,6.95
47,Boulder,K,13,K13,20.475,NA,NA,NA,NA,0.0475,0,0.0475,0,2,4.4,0,3.09087,-0.95,1.7833,4.1,4.4,5.325,NA,6.4,0.7,2,1.1,NA,NA,NA,NA,NA,NA
48,Boulder,K,14,K14,21.68833333,NA,NA,NA,NA,0.0152,0,0.0152,0,0,-0.8,-0.2,6.6,13.5,14.2166,13.6,12.2,7.42,NA,2.5333,0.7,-1.9666,-1.1,NA,NA,NA,NA,NA,NA
49,Boulder,K,15,K15,20.575,0.48,0.84,0.53,0,-0.0948,0,-0.0948,0,-4,-23.4,-0.76,-1.56742,18.6,19.05,19.1,20,17.705,NA,10.1,-1.75,-1.4334,-0.55,NA,NA,NA,NA,0.242488827,6.4468
50,Boulder,K,16,K16,19.78333333,NA,NA,NA,NA,0.0881,0,0.0881,0,7,23.9,0.24102,4.05333,13.4,11.5167,13.6,12.6,13.635,NA,12.3666,5.05,3.3,1.25,NA,NA,NA,NA,NA,NA
51,Boulder,K,17,K17,22.16,1.02,0.07,-0.09,-0.1039,-0.0448,-0.1039,-0.2526,0,-1,-9.9,-0.22778,2.45182,12.9,13.1,13.8,13,11.4475,NA,0.4334,-2.25,1.5333,1.2,NA,NA,NA,NA,0.281171082,7.7501
69,Boulder,W,1,W01,14.43125,2.35,1.81,3.28,0,0.2692,0.0027,0.2719,0,11,48.4,NA,NA,20,28.64,39.15,36.8,46.99,43.9,29.85,27,14.1333,4.75,-6,-1.35,NA,NA,0.322184691,2.2493
70,Boulder,W,2,W02,20.3375,NA,NA,NA,NA,NA,NA,NA,1,2,6.7,NA,NA,46.7,NA,NA,NA,NA,25.6,11.95,7.9333,2.8667,0.4,NA,NA,NA,NA,NA,NA
71,Boulder,W,3,W03,19.49875,0.33,-1.29,-0.04,0,0.0532,0,0.0532,0,-1,1.7,0.49697,5.42692,27.2,26.94,28.05,28.4,24.13,30,15.75,5.6667,5.7667,1.45,-0.5,-0.6,NA,NA,-0.228689161,8.5634
72,Boulder,W,4,W04,17.98375,1.23,0.96,2.01,0,0.2819,-0.0215,0.2604,0,15,46.4,-0.09412,7.93509,28.1,31.38,33.6,31.2,32.385,27.4666,27.2,21.0333,8.6,1.95,NA,NA,0.03,-0.36,0.12153794,4.4299
73,Boulder,W,5,W05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.3,NA,NA,NA,NA,-42.6333,-24.1,-18.6,-10.1667,-2.1,NA,NA,NA,NA,NA,NA
74,Boulder,W,6,W06,16.86,1.55,0.32,2.47,0,0.0665,-0.1398,-0.0733,0,7,21,-0.35,-10.99,8.7,18.4,24.45,23.9,25.4,26.7667,14.15,5.0667,-1,-0.45,-2.05,-5.3,NA,NA,-0.054576017,4.525
75,Boulder,W,7,W07,19.41428571,0.23,-0.27,0.55,0,0.0595,0.1234,0.1829,0,5,10.8,-0.48096,-12.10179,8.3,5.9,8.7,-1.3,3.81,2.6,-4.75,-10.3,-9.4334,-2.3,NA,NA,0.17,0.34,-0.155843347,6.2149
76,Boulder,W,8,W08,16.85,NA,NA,NA,NA,NA,NA,NA,1,5,18.4,NA,NA,57.9,NA,NA,NA,NA,37.7667,25.2,13.4333,4.3,1.2,NA,NA,NA,NA,NA,NA
77,Boulder,W,9,W09,17.3625,0.74,0.4,1.85,0,0.0785,-0.0223,0.0562,0,6,22.8,NA,NA,5.6,5.44,5.85,10.5,41.275,35.2,26.95,21.3667,11.7,2.35,-2.7,-3.95,NA,NA,-0.08147629,4.3259
78,Boulder,W,10,W10,17.85833333,1.24,1.37,1.43,0,0.0883,0.0273,0.1156,0,5,17.9,-0.1869,8.5627,19.3,20.52,20,19.8,21.59,8.7667,5.6,9.8,6.2334,0.25,2.5,0.65,NA,NA,0.296206655,5.2538
79,Boulder,W,11,W11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.4,NA,NA,NA,NA,-36.7333,-29.95,-24.3667,-16.2333,-3.05,NA,NA,NA,NA,NA,NA
80,Boulder,W,12,W12,19.69,0.25,-0.1,-0.04,0,-0.0341,-0.0606,-0.0947,0,3,8.9,-0.09444,-17.64026,6.7,-2.08,2.8,1.2,5.08,2.4,5.8,3.9,0,1.4,4.6,4.1,NA,NA,0.066394422,6.8293
81,Boulder,W,13,W13,20.71607143,NA,NA,NA,NA,-0.241,0.0578,-0.1832,0,-12,-41.4,NA,NA,-3.16,-11.32,-31.8,-39.8,-43.815,-49.7667,-27.75,-17.7667,-6.9333,-0.3,NA,NA,NA,NA,NA,NA
82,Boulder,W,14,W14,14.855,1.8,2.05,3.23,0,0.4219,-0.0771,0.3448,0,20,73.2,NA,NA,16.7,22.88,32.4,40.3,54.61,45.6333,27.55,24.9,15.2,3.35,-4.6,-2.3,NA,NA,0.199435857,2.7371
83,Boulder,W,15,W15,21.83392857,NA,NA,NA,NA,-0.1694,0.022,-0.1474,0,-16,-46.4,0.01616,-3.27852,-1.5,-0.62,0.3,0.9,1.905,-5.5,-7,-8.4333,-8.5333,-2.35,NA,NA,NA,NA,NA,NA
84,Boulder,W,16,W16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,NA,NA,NA,NA,1.2667,0.7,-0.8333,-1.0333,-1.55,NA,NA,NA,NA,NA,NA
85,Boulder,W,17,W17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Boulder,BT,1,BT01,18.33111111,1.55,0.64,1.46,-0.0406,0.1856,-0.0948,0.0502,0,8,30.3,0.375,2.17538,14.5,10.54,11.25,11.7,8.89,25.7334,13.85,8.3,6.3,1.8,0.6,0.45,NA,NA,0.239163238,5.2191
104,Boulder,BT,2,BT02,19.105,NA,NA,NA,NA,0.1611,0.1155,0.2835,0,11,36.3,-0.36667,13.28618,9.66,10.2,4.6,4.7,3.81,5.0666,8.4,6.8,6.0667,1.35,NA,NA,0.8,-1.29,NA,NA
105,Boulder,BT,3,BT03,21.72916667,1.52,0.18,2.5,0,-0.0325,0.0222,-0.0103,0,-2,-5.7,0.1425,1.30333,3.615,15.22,12.85,13.4,1.27,4.5333,5.4,-1.7333,0.6334,0.75,NA,NA,NA,NA,0.025575099,6.7264
106,Boulder,BT,4,BT04,18.43375,NA,NA,NA,NA,0.1443,-0.0077,0.1438,0,4,23.1,1.11667,15.09692,16.8,17.14,17.35,25.5,15.875,12.1333,1.3,-2.1666,-1.6333,-2.4,NA,NA,NA,NA,NA,NA
107,Boulder,BT,5,BT05,17.54375,0.59,1.36,2.09,0,0.2094,-0.0521,0.1573,0,13,50.6,0.6,-5.89215,22.5,28.22,36.5,44.4,42.545,8,6.3,6.9333,4.8667,-1.5,-1,-0.25,NA,NA,0.206701658,3.0252
108,Boulder,BT,6,BT06,21.67833333,-0.04,-0.14,-0.9,0,-0.1021,0.0117,-0.0904,0,-9,-26.9,1.45,1.95,7.8,7.72,7.7,6,3.81,-2.8,-9.3,-16.2,-11.0333,-1.8,-0.35,1.95,NA,NA,0.134121044,6.8094
109,Boulder,BT,7,BT07,20.5575,0.04,0.06,-0.95,0.0233,0.0797,0.0527,0.1557,0,6,20.6,0.475,3,2.2,2.12,1.2,0.7,2.54,5.6,-8,-2.5667,-2.8667,-1.6,3.4,3.95,NA,NA,0.20604155,6.0181
110,Boulder,BT,8,BT08,20.89166667,0.85,0.54,1.37,0,0.0498,0.0582,0.108,0,-1,-3.5,-0.02878,7.29423,9.6,9.025,8,7,6.985,7.2,2,-2.6,-0.5334,2.7,NA,NA,NA,NA,0.090272752,6.9234
111,Boulder,BT,9,BT09,20.91904762,0.38,-0.7,0.08,0.0052,-0.052,0.0381,-0.0087,0,-4,-10.4,0.48,1.2375,4.3,4.58,4.45,4.9,6.35,-0.3667,18.8,8.0666,5.5,0.75,NA,NA,NA,NA,-0.092034505,6.5313
112,Boulder,BT,10,BT10,18.15666667,-0.03,-0.39,-0.91,0,-0.0256,0,-0.0256,-1,-3,-7.4,NA,NA,-2.435,-10.38,-22.9,-26.9,-28.575,-34.0333,-23.3,-11.6334,-5.8333,-1.55,2,1.15,NA,NA,0.482791289,3.6856
113,Boulder,BT,11,BT11,13.9875,NA,NA,NA,NA,NA,NA,NA,1,2,5.2,NA,NA,51.6,NA,NA,NA,NA,49.1333,34.15,20.7667,7.4333,-1.4,NA,NA,NA,NA,NA,NA
114,Boulder,BT,12,BT12,17.75,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,2.9,NA,NA,NA,NA,3.4333,2.9,2.5667,1.8666,-0.55,NA,NA,NA,NA,NA,NA
115,Boulder,BT,13,BT13,20.64285714,0.66,0.36,0.36,0,0.0069,-0.0285,-0.0216,0,1,9.4,0.46096,0.62721,-3.085,-10.78,-8.05,-3.6,-1.905,3.9667,5.85,14.4334,11.3334,2.75,1.9,4.8,NA,NA,0.188639652,6.5291
116,Boulder,BT,14,BT14,15.33333333,0.4,0.45,0.66,-0.025,0,-0.025,-0.05,-1,0,0,NA,NA,-3.2,-1.88,5.25,10.3,6.35,13.0333,4.8,3.2667,2.7,0.15,1.55,4.55,NA,NA,0.261193574,2.26
117,Boulder,BT,15,BT15,20.49464286,NA,NA,NA,NA,0.1244,0,0.1244,0,6,16.8,-0.13777,9.50374,-3.355,-1.38,-0.45,-0.1,-3.81,-12.5333,1.15,-1.5333,-0.2333,-0.35,NA,NA,0.28,0.88,NA,NA
118,Boulder,BT,16,BT16,16.775,NA,NA,NA,NA,0.1555,-0.0823,0.0732,0,7,20.1,0.13333,12.00333,-1.1,7.88,19.5,19,15.875,19.3,14.6,13.3333,6,0.45,NA,NA,NA,NA,NA,NA
119,Boulder,BT,17,BT17,19.88333333,0.85,0.39,0.69,0.0055,0.0961,-0.0163,0.0853,0,5,17.9,0.13175,5.41091,13.6,13.58,12.95,13,13.97,6.2,-9.65,-5.4,-0.1666,-1.8,NA,NA,0.03,0.67,0.138405085,6.2368
137,Boulder,DM,1,DM01,17.47666667,0.47,0.64,0.77,-0.0527,0.0507,0.0565,0.0545,0,6,14.5,-0.2125,-2.57778,-1.9,-1.7,-2,-1.6,-1.905,1.8333,3.05,-0.4333,0.3333,3.7,-0.45,0.25,NA,NA,0.357402401,2.0762
138,Boulder,DM,2,DM02,20.44666667,NA,NA,NA,NA,-0.2373,-0.0038,-0.2411,0,-13,-43.9,NA,NA,5.3,3.84,5.6,6.3,4.445,1.4667,-2.25,-5.0333,-3.2,-2.7,NA,NA,0.38,0.7,NA,NA
139,Boulder,DM,3,DM03,15.02,NA,NA,NA,NA,NA,NA,NA,1,1,1.4,NA,NA,0.645,NA,NA,NA,-17.145,-8.8667,-8.3,-1.7667,-0.1,0.25,NA,NA,NA,NA,NA,NA
140,Boulder,DM,4,DM04,22.2625,0.3,0.01,-1.15,-0.0051,-0.0622,-0.0416,-0.1089,0,-4,-15,-0.1625,-1.05143,2.2,-0.14,3.7,1.4,1.905,1.1,5.25,-0.2,-1.4333,-3,2.3,1,NA,NA,0.345526929,6.0335
141,Boulder,DM,5,DM05,18.15178571,0.5,0.69,0.2,0,0.0653,0.0005,0.0658,0,5,16.2,0.275,5.81111,10.6,18.96,16.7,7.8,9.525,17.1,14.3,14.5333,5.4667,0.3,1.9,2.85,NA,NA,0.351696528,4.5534
142,Boulder,DM,6,DM06,16.06571429,NA,NA,NA,NA,NA,NA,NA,1,2,6.7,NA,NA,30.8,26.28,30.3,29.4,30.48,24.2,14.15,8.5333,6.3334,0.55,NA,NA,NA,NA,NA,NA
143,Boulder,DM,7,DM07,19.7125,0.02,0.03,0.71,0,-0.0335,0.0846,0.0511,0,-2,-3.1,0.5,-0.12,2.64,2.42,3.1,3.5,11.43,-0.4333,-11.8,-10.2667,-1.4,-0.55,NA,NA,NA,NA,-0.126663081,6.9272
144,Boulder,DM,8,DM08,20.28125,0.56,0.07,-1.05,0,-0.0592,-0.1616,-0.2208,0,-3,-12.4,-0.095,3.60556,-7.3,-6.92,-6.25,13.7,-7.62,2.8666,5.5,-0.6333,-1.4334,1.55,NA,NA,NA,NA,0.437156755,6.3349
145,Boulder,DM,9,DM09,16.9,1.23,0.77,-0.03,0,0,-0.0472,-0.0472,0,0,0,NA,NA,8.26,6.09,7.25,7.8,8.89,7.9333,8.25,8.2333,2.5667,-0.55,NA,NA,NA,NA,0.716022877,4.6847
