"","pop","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","abbv","col","orig","annual_AI_CGIAR","legend.order"
"21","Beech Trail",0.438282100055354,3.40406706604176,-1.7443608441557,0.653138134825733,-0.883484055030125,-3.68029642733332,-2.2274872203698,0.0757003447269105,-1.09593570206877,"BT","#6BAD9E","#4992C2",0.3596,"I"
"22","Beech Trail",-1.57722556352679,0.991806530027175,-0.889990377056858,-1.40131028168455,-0.745993087210782,-1.22719871847663,-1.31505957072636,0.849913105027645,-0.14695131314482,"BT","#6BAD9E","#4992C2",0.3596,"I"
"23","Beech Trail",-1.90393486203117,2.86061340894705,-2.1674809367032,-0.585331377640063,-0.0238579292706533,-0.523255008535422,-0.889976970769499,0.321907173804669,0.0763885006450749,"BT","#6BAD9E","#4992C2",0.3596,"I"
"24","Beech Trail",-1.92617609661588,1.20922185090591,-1.56288341263757,0.166434078835177,-0.320015918902825,-0.402257138653858,0.433555493257502,-0.246845994014189,0.21268687056676,"BT","#6BAD9E","#4992C2",0.3596,"I"
"25","Beech Trail",-0.991084271313816,2.83305820485842,-1.64419844544361,0.816445181282384,-1.9960370359592,-2.43791272113196,-0.628556493734301,-2.03246328705182,-1.74800003055622,"BT","#6BAD9E","#4992C2",0.3596,"I"
"26","Beech Trail",-0.577707641318523,2.09461358633079,0.519585134110269,-1.22374757486547,-1.29905811361986,-2.64944720799202,-2.15230346749166,0.211168580674179,-0.393891239648099,"BT","#6BAD9E","#4992C2",0.3596,"I"
"27","Beech Trail",-1.44187466502348,0.90587586852561,-0.132162959462437,0.147891271852328,-0.0829707969009748,-0.635488762100634,-0.565071270424723,-0.1906401046431,0.048682385021725,"BT","#6BAD9E","#4992C2",0.3596,"I"
"28","Beech Trail",-1.73281551463027,3.91540893024126,-0.164164565998847,-1.49280532721742,-1.8304665408577,-2.40301686945173,-2.56918412080391,-0.483769075076549,-0.912318272475962,"BT","#6BAD9E","#4992C2",0.3596,"I"
"29","Beech Trail",-1.27549842968698,1.48118086279202,-1.34125375505559,-2.05737405942721,-0.302220164776054,-1.0858118112772,0.324331745233709,0.320575569703126,-0.699029522625292,"BT","#6BAD9E","#4992C2",0.3596,"I"
"30","Beech Trail",-2.52297226863364,4.85383193282199,-0.257048027046378,-1.59921722940392,-1.58250131628169,-3.95677359162167,-1.68244577644859,1.13996445896824,-0.946699618421006,"BT","#6BAD9E","#4992C2",0.3596,"I"
