"","pop","LD1","LD2","LD3","LD4","LD5","LD6","abbv","col","orig","annual_AI_CGIAR","legend.order"
"18","Cedar Point",-1.59441311884695,-0.136037064017021,0.391361050867906,-0.0558447163539356,-0.682289184439778,-0.221535455926068,"CP","#A889C1","#AADB84",0.3905,"P"
"19","Cedar Point",-4.05126717085726,0.469608918377106,1.22791208877985,-0.0148071288988778,0.076908210233241,-0.527427102958792,"CP","#A889C1","#AADB84",0.3905,"P"
"20","Cedar Point",-1.00430473648889,0.171077123053818,0.42400150513665,0.216577555799276,-0.333320187286248,-0.256830922223782,"CP","#A889C1","#AADB84",0.3905,"P"
"21","Cedar Point",-1.83328039826388,0.105896687160261,0.505080305129117,0.523208607652892,0.0959974620875201,-0.461980582132403,"CP","#A889C1","#AADB84",0.3905,"P"
"22","Cedar Point",-1.63183877502471,0.150906134718032,0.487352577317465,-1.49229238458282,-0.172294299399719,-1.52768697771871,"CP","#A889C1","#AADB84",0.3905,"P"
"23","Cedar Point",-2.4004969408773,-1.15330692234917,1.92202958931644,0.946388204254093,1.12922243023135,-6.31207940285449,"CP","#A889C1","#AADB84",0.3905,"P"
"24","Cedar Point",-0.913737054972927,-0.653702913225188,0.820876476152416,0.765233887444256,0.256359411024179,-0.817204696573768,"CP","#A889C1","#AADB84",0.3905,"P"
"25","Cedar Point",-1.89727014738138,0.80700409935095,0.646280627480964,-0.293005679980031,-0.524427782096651,-0.703997496277617,"CP","#A889C1","#AADB84",0.3905,"P"
"26","Cedar Point",-0.199501157798523,1.24538986616328,0.92092084047273,0.70408780635744,0.213304836246987,-0.93256630930429,"CP","#A889C1","#AADB84",0.3905,"P"
"27","Cedar Point",-1.34311902309718,0.868240597336251,1.07328596778389,-0.400498390019524,-0.119823398631532,-1.687660066293,"CP","#A889C1","#AADB84",0.3905,"P"
"28","Cedar Point",-3.74414464288552,0.652563121425925,2.56912024476812,0.155530708797193,-0.353134759128975,-1.25926284998273,"CP","#A889C1","#AADB84",0.3905,"P"
"29","Cedar Point",-1.71592613531148,0.165422757274105,2.50998494675369,0.0588925145861778,-0.599930484997068,-2.28793079150662,"CP","#A889C1","#AADB84",0.3905,"P"
"30","Cedar Point",-3.18844309081564,0.509221151881633,3.161919903558,-1.39705591813826,-0.964812321026584,-4.23672492320048,"CP","#A889C1","#AADB84",0.3905,"P"
"31","Cedar Point",-2.45704277677798,1.71160635025154,1.28991883082451,-0.352613293623836,-0.419996432267748,-1.36294478381654,"CP","#A889C1","#AADB84",0.3905,"P"
"32","Cedar Point",-2.56224731570683,0.828395423207668,1.86547213172534,0.40591642290202,0.770060216950089,-1.10883346405227,"CP","#A889C1","#AADB84",0.3905,"P"
"33","Cibola",1.81667380637078,-8.59738653721719,-1.09700791840691,0.559769909222022,-0.32280900298586,-0.28979406529504,"CIB","#F88A89","#52AF43",0.2417,"B"
"34","Cibola",1.77380204324874,-8.45888694113456,-0.732667169631472,0.399747995327162,-0.953054513864253,-0.246572492425441,"CIB","#F88A89","#52AF43",0.2417,"B"
"35","Cibola",2.39057681676925,-7.93201176390781,-0.244808856435411,0.104470531226941,0.368956552911205,0.158067356040465,"CIB","#F88A89","#52AF43",0.2417,"B"
"36","Cibola",1.69714184371461,-7.86116231600508,-0.825818388779564,0.0485958778691176,-0.203767774971502,-0.321551743486287,"CIB","#F88A89","#52AF43",0.2417,"B"
"37","Cibola",1.74359937552288,-8.10387335945302,-0.824596239001415,0.359079303753515,-0.457421454493377,0.166745163559197,"CIB","#F88A89","#52AF43",0.2417,"B"
"38","Cibola",1.73036157617201,-7.86166265820018,-0.747598358321765,0.243383912970101,-0.0982157866698325,0.392928064077325,"CIB","#F88A89","#52AF43",0.2417,"B"
"39","Cibola",1.53586228154041,-8.38127584070907,-1.0068578585351,0.235384625396431,-0.101067529913194,-0.0839183133082873,"CIB","#F88A89","#52AF43",0.2417,"B"
"40","Cibola",1.66114740503515,-8.46815527568488,-0.933217518569864,0.208086782705985,-0.133246431794568,0.0862157373013969,"CIB","#F88A89","#52AF43",0.2417,"B"
"41","Cibola",1.59298385577003,-7.9868983134735,-1.01349661492834,0.11168384467501,0.35747901219623,-0.0520495408965139,"CIB","#F88A89","#52AF43",0.2417,"B"
"42","Cibola",2.17038596034154,-3.94352623271994,0.151387642733761,0.0623815261568031,-1.11072365802926,0.113602572460379,"CIB","#F88A89","#52AF43",0.2417,"B"
"43","Cibola",1.69944107832354,-8.16876992260582,-0.997661612335551,0.496155037125841,0.131216150580116,0.0905328691477539,"CIB","#F88A89","#52AF43",0.2417,"B"
